Current,Status,Lifecycle,Predicted date
239.0048,5,,
281.2567,5,,
286.0003,5,,
213.7746,5,,
288.9638,5,,
285.7435,5,,
246.2625,5,,
278.7484,5,,
232.9416,5,,
227.4746,5,,
245.2655,5,,
291.9388,5,,
254.4802,5,,
288.8586,5,,
267.4833,5,,
273.1984,5,,
271.3975,5,,
234.3565,5,,
252.1881,5,,
270.6441,5,,
259.1018,5,,
272.5452,5,,
274.3987,5,,
233.2534,5,,
288.7487,5,,
211.3996,5,,
235.4277,5,,
213.9694,5,,
220.7238,5,,
239.7994,5,,
228.917,5,,
233.784,5,,
236.469,5,,
265.048,5,,
250.6574,5,,
287.9911,5,,
293.9991,5,,
287.9945,5,,
225.1828,5,,
278.7252,5,,
262.9823,5,,
